編號,歌手/團體名稱,類別標籤,別名/譯名,相關團體,合唱組合,歌庫已收錄曲數
379,蕭亞軒+順子,Solo / Group,,,,0
380,3 Doors Down,Solo / Group,,,,0
381,K ONE,Solo / Group,,,,0
382,唐禹哲,Solo / Group,,,,0
383,生命樹,Solo / Group,,,,0
384,李玖哲,Solo / Group,,,,0
385,Spexial,Solo / Group,,,,0
386,廖語晴+戴佩妮,Solo / Group,,,,0
387,擊沈女孩Destroyers,Solo / Group,,,,0
388,龔芝怡+伍家輝,Solo / Group,,,,0
389,Lollipop F,Solo / Group,,,,0
390,胡彥斌,Solo / Group,,,,0
391,張峰奇,Solo / Group,,,,0
392,大小姐,Solo / Group,,,,0
393,劉若英+梁靜茹,Solo / Group,,,,0
394,郭采潔,Solo / Group,,,,0
395,Only J,Solo / Group,,,,0
396,范文芳,Solo / Group,,,,0
397,戴佩妮,Solo / Group,,,,0
398,AKON,Solo / Group,,,,0
399,齊秦,Solo / Group,,,,0
400,松本英子,Solo / Group,,,,0
401,Miya Ro米亞若+Zheen,Solo / Group,,,,0
402,鄭秀文,Solo / Group,,,,0
403,袁泉,Solo / Group,,,,0
404,戴愛玲,Solo / Group,,,,0
405,OLIVIA NEWTON-JOHN,Solo / Group,,,,0
406,Westlife,Solo / Group,,,,0
407,JUDY AND MARY,Solo / Group,,,,0
408,林寶,Solo / Group,,,,0
409,麻吉弟弟,Solo / Group,,,,0
410,鄧福如,Solo / Group,,,,0
411,張棋翔,Solo / Group,,,,0
412,TONI BASIL,Solo / Group,,,,0
413,張元蒂,Solo / Group,,,,0
414,劉子千,Solo / Group,,,,0
415,張敬軒,Solo / Group,,,,0
416,陳芳語,Solo / Group,,,,0
417,Dears,Solo / Group,,,,0
418,大囍門,Solo / Group,,,,0
419,仲維軍,Solo / Group,,,,0
420,河村隆一,Solo / Group,,,,0
421,長渕剛,Solo / Group,,,,0
422,于浩威,Solo / Group,,,,0
423,曾甜,Solo / Group,,,,0
424,王思佳,Solo / Group,,,,0
425,Ak Benjamin+Marz23,Solo / Group,,,,0
426,趙之璧,Solo / Group,,,,0
427,陳思安,Solo / Group,,,,0
428,王心凌+吳克群,Solo / Group,,,,0
429,icyball冰球樂團,Solo / Group,,,,0
430,陳曉東,Solo / Group,,,,0
431,康淨淳,Solo / Group,,,,0
432,包偉銘,Solo / Group,,,,0
433,Wonder Girls,Solo / Group,,,,0
434,韓庚,Solo / Group,,,,0
435,那英,Solo / Group,,,,0
436,蘇永康,Solo / Group,,,,0
437,サザソオールスターズ,Solo / Group,,,,0
438,IPIS蟑螂,Solo / Group,,,,0
439,阿超,Solo / Group,,,,0
440,ECHOES,Solo / Group,,,,0
441,黑澀會美眉,Solo / Group,,,,0
442,LINDSAY LOHAN,Solo / Group,,,,0
443,蕭亞軒+羅志祥,Solo / Group,,,,0
444,翁祥,Solo / Group,,,,0
445,ピンクレディー,Solo / Group,,,,0
446,Abba,Solo / Group,,,,0
447,黃右年,Solo / Group,,,,0
448,方大同+袁婭維,Solo / Group,,,,0
449,陳葦廷,Solo / Group,,,,0
450,范逸臣,Solo / Group,,,,0
451,葛仲珊,Solo / Group,,,,0
452,李吳兄弟,Solo / Group,,,,0
453,莊心妍,Solo / Group,,,,0
454,Breeze,Solo / Group,,,,0
455,黃大煒,Solo / Group,,,,0
456,MFM,Solo / Group,,,,0
457,麻吉弟弟+婁峻碩,Solo / Group,,,,0
458,黑眼豆豆,Solo / Group,,,,0
459,柯大堡,Solo / Group,,,,0
460,陳乃榮,Solo / Group,,,,0
461,接招合唱團,Solo / Group,,,,0
462,ØZI+落日飛車,Solo / Group,,,,0
463,io樂團,Solo / Group,,,,0
464,邱暐議,Solo / Group,,,,0
465,艾蜜莉AMILI+蛋頭BG8Locc,Solo / Group,,,,0
466,理想混蛋,Solo / Group,,,,0
467,游艾迪,Solo / Group,,,,0
468,黃雅莉,Solo / Group,,,,0
469,楊乃文,Solo / Group,,,,0
470,Doris Day,Solo / Group,,,,0
471,蔡孟臻,Solo / Group,,,,0
472,圓圓,Solo / Group,,,,0
473,Backstreet boys,Solo / Group,,,,0
474,龍千玉,Solo / Group,,,,0
475,吳青峰+孫燕姿,Solo / Group,,,,1
476,AcQUA源少年,Solo / Group,,,,0
477,林佳音,Solo / Group,,,,0
478,Jinbo+G22,Solo / Group,,,,0
479,南拳媽媽,Solo / Group,,,,0
480,中山美穂,Solo / Group,,,,0
481,GLORIA ESTEFAN,Solo / Group,,,,0
482,小老鷹樂團,Solo / Group,,,,0
483,Color,Solo / Group,,,,0
484,Toto,Solo / Group,,,,0
485,頑童MJ116+J.Sheon,Solo / Group,,,,0
486,嵐,Solo / Group,,,,0
487,訐譙龍,Solo / Group,,,,0
488,費翔,Solo / Group,,,,0
489,林佑威,Solo / Group,,,,0
490,陳綺貞,Solo / Group,,,,0
491,Saya,Solo / Group,,,,0
492,江志豐,Solo / Group,,,,0
493,符瓊音,Solo / Group,,,,0
494,Lisa Loeb,Solo / Group,,,,0
495,阮筱芬,Solo / Group,,,,0
496,聶雲,Solo / Group,,,,0
497,林宇中,Solo / Group,,,,0
498,ZIP發射樂團,Solo / Group,,,,0
499,李玉璽,Solo / Group,,,,0
500,SIGMA,Solo / Group,,,,0
501,TENSION,Solo / Group,,,,0
502,Avril Lavigne,Solo / Group,,,,0
503,徐若瑄+李玖哲,Solo / Group,,,,0
504,比莉,Solo / Group,,,,0
505,陳妍希,Solo / Group,,,,0
506,高登,Solo / Group,,,,0
507,吳青峰+歐若拉,Solo / Group,,,,1
508,謝容兒,Solo / Group,,,,0
509,季欣霈,Solo / Group,,,,0
510,周杰倫+派偉俊,Solo / Group,,,,1
511,周華健,Solo / Group,,,,0
512,林宥嘉+黃奇斌,Solo / Group,,,,0
513,SPANDAU BALLET,Solo / Group,,,,0
514,Mini+陳科妤,Solo / Group,,,,0
515,蔡詩芸+高爾宣OSN,Solo / Group,,,,0
516,Miss A,Solo / Group,,,,0
517,JULIE,Solo / Group,,,,0
518,蘇兒真,Solo / Group,,,,0
519,炎亞綸+劉力揚,Solo / Group,,,,0
520,林樂偉,Solo / Group,,,,0
521,RED芮德,Solo / Group,,,,0
522,Team H,Solo / Group,,,,0
523,牙套,Solo / Group,,,,0
524,劉以豪,Solo / Group,,,,0
525,羅小白,Solo / Group,,,,0
526,田亞霍,Solo / Group,,,,0
527,潘瑋柏+信,Solo / Group,,,,0
528,彭佳慧,Solo / Group,,,,0
529,Kiss,Solo / Group,,,,0
530,蕭淑慎+Super group超級天團,Solo / Group,,,,0
531,Ozone,Solo / Group,,,,0
532,Makiyo,Solo / Group,,,,0
533,倪安東,Solo / Group,,,,0
534,Mr.,Solo / Group,,,,0
535,2PM,Solo / Group,,,,0
536,王傳一,Solo / Group,,,,0
537,CLIFF RICHARD,Solo / Group,,,,0
538,HITOMI,Solo / Group,,,,0
539,HOUND DOG,Solo / Group,,,,0
540,藤井フミヤ,Solo / Group,,,,0
541,鄭中基,Solo / Group,,,,0
542,4 Minute,Solo / Group,,,,0
543,華原朋美,Solo / Group,,,,0
